DATE_FROM,DATE_TO,TYPE_OF_RESERVES,PRODUCT,OFFERED_CAPACITY_PRICE_[EUR/MW],OFFERED_CAPACITY_[MW],ALLOCATED_CAPACITY_[MW],COUNTRY,SETTLEMENTCAPACITY_PRICE_[EUR/MW],NOTE
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,15,15,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,1,1,BE,246.48,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,1,1,BE,246.48,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,9,9,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,4,4,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,1,1,NL,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,1,1,NL,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,1,1,NL,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,1,1,NL,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,1,1,NL,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,1,1,NL,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,2,2,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,12,12,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,5,5,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,3,3,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,1,1,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,2,2,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,10,10,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,4,4,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,10,10,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.0,2,2,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.16,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.28,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.44,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.5,36,36,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.6,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.72,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,0.88,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,1.0,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,1.0,2,2,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,1.0,9,9,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,1.0,3,3,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,1.0,12,12,CH,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,1.0,14,14,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,1.0,1,1,AT,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,1.16,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,1.32,111,111,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,1.32,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,1.44,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,1.5,7,7,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,1.6,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,1.76,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,1.88,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,2.0,14,14,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,2.02,77,77,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,2.04,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,2.2,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,2.32,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,2.44,3,3,CZ,71.2,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,2.48,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,2.64,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,2.76,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,2.92,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,3.0,10,10,NL,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,3.04,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,3.1,13,13,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,3.12,15,15,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,3.14,14,14,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,3.2,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,3.25,14,14,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,3.33,18,18,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,3.36,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,3.48,15,15,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,3.48,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,3.6,5,5,AT,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,3.64,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,3.64,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,3.96,2,2,CH,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,4.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,4.0,5,5,AT,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,4.0,3,3,CZ,71.2,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,4.0,18,18,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,4.0,33,33,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,4.0,1,1,NL,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,4.4,5,5,AT,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,4.8,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,4.8,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,4.8,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,4.8,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,4.8,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,4.8,1,1,AT,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,4.8,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,4.9,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,8,8,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,8,8,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,7,7,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,15,15,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,16,16,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,10,10,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,6,6,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.0,2,2,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.23,3,3,NL,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,5.55,3,3,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,6.0,18,18,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,6.0,10,10,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,6.0,10,10,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,6.0,2,2,FR,52.95,INDIVISIBLE
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,6.0,6,6,FR,52.95,INDIVISIBLE
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,6.0,2,2,FR,52.95,INDIVISIBLE
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,6.5,19,19,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,6.56,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,6.66,7,7,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,6.7,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,6.8,5,5,AT,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,7.0,4,4,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,7.0,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,7.0,10,10,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,7.0,10,10,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,7.2,5,5,AT,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,7.4,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,7.5,8,8,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,7.5,8,8,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,7.6,2,2,AT,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,8.0,8,8,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,8.0,6,6,AT,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,8.33,7,7,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,8.4,4,4,AT,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,8.5,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,9.48,22,22,BE,246.48,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,9.52,7,7,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,9.59,1,1,NL,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,9.7,6,6,AT,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,9.9,1,1,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,10.0,5,5,FR,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,10.0,2,2,NL,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,10.0,21,21,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,10.0,8,8,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,10.0,7,7,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,10.0,1,1,CH,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,10.0,6,6,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,10.0,8,8,DE,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,10.4,5,5,AT,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,10.62,1,1,NL,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,10.8,5,5,AT,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,10.81,5,5,NL,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,11.2,2,2,AT,52.95,
2023-10-24,2023-10-24,FCR,NEGPOS_00_04,11.32,13,13,NL,52.95,
