DATE_FROM,DATE_TO,PRODUCT_TYPE,TENDER_NUMBER,PRODUCTNAME,CROSSBORDER_SETTLEMENTCAPACITY_PRICE_[EUR/MW],AUSTRIA_DEMAND_[MW],AUSTRIA_SETTLEMENTCAPACITY_PRICE_[EUR/MW],AUSTRIA_DEFICIT(-)_SURPLUS(+)_[MW],BELGIUM_DEMAND_[MW],BELGIUM_SETTLEMENTCAPACITY_PRICE_[EUR/MW],BELGIUM_DEFICIT(-)_SURPLUS(+)_[MW],DENMARK_DEMAND_[MW],DENMARK_SETTLEMENTCAPACITY_PRICE_[EUR/MW],DENMARK_DEFICIT(-)_SURPLUS(+)_[MW],FRANCE_DEMAND_[MW],FRANCE_SETTLEMENTCAPACITY_PRICE_[EUR/MW],FRANCE_DEFICIT(-)_SURPLUS(+)_[MW],GERMANY_DEMAND_[MW],GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],GERMANY_DEFICIT(-)_SURPLUS(+)_[MW],NETHERLANDS_DEMAND_[MW],NETHERLANDS_SETTLEMENTCAPACITY_PRICE_[EUR/MW],NETHERLANDS_DEFICIT(-)_SURPLUS(+)_[MW],SLOVENIA_DEMAND_[MW],SLOVENIA_SETTLEMENTCAPACITY_PRICE_[EUR/MW],SLOVENIA_DEFICIT(-)_SURPLUS(+)_[MW],SWITZERLAND_DEMAND_[MW],SWITZERLAND_SETTLEMENTCAPACITY_PRICE_[EUR/MW],SWITZERLAND_DEFICIT(-)_SURPLUS(+)_[MW],CZECH_REPUBLIC_DEMAND_[MW],CZECH_REPUBLIC_SETTLEMENTCAPACITY_PRICE_[EUR/MW],CZECH_REPUBLIC_DEFICIT(-)_SURPLUS(+)_[MW],timestamp,measurement
2024-06-01,2024-06-01,FCR,1.0,NEGPOS_00_04,32.4,72.0,32.4,-46.0,93.0,192.0,-65.0,25.0,32.4,-23.0,486.0,3.44,145.0,564.0,32.4,77.0,110.0,32.4,-58.0,14.0,32.4,-14.0,62.0,32.4,30.0,77.0,199.0,-46.0,2024-06-01 00:00:00.000,fcr_results
2024-06-01,2024-06-01,FCR,1.0,NEGPOS_00_04,32.4,72.0,32.4,-46.0,93.0,192.0,-65.0,25.0,32.4,-23.0,486.0,3.44,145.0,564.0,32.4,77.0,110.0,32.4,-58.0,14.0,32.4,-14.0,62.0,32.4,30.0,77.0,199.0,-46.0,2024-06-01 01:00:00.000,fcr_results
2024-06-01,2024-06-01,FCR,1.0,NEGPOS_00_04,32.4,72.0,32.4,-46.0,93.0,192.0,-65.0,25.0,32.4,-23.0,486.0,3.44,145.0,564.0,32.4,77.0,110.0,32.4,-58.0,14.0,32.4,-14.0,62.0,32.4,30.0,77.0,199.0,-46.0,2024-06-01 02:00:00.000,fcr_results
2024-06-01,2024-06-01,FCR,1.0,NEGPOS_00_04,32.4,72.0,32.4,-46.0,93.0,192.0,-65.0,25.0,32.4,-23.0,486.0,3.44,145.0,564.0,32.4,77.0,110.0,32.4,-58.0,14.0,32.4,-14.0,62.0,32.4,30.0,77.0,199.0,-46.0,2024-06-01 03:00:00.000,fcr_results
2024-06-01,2024-06-01,FCR,1.0,NEGPOS_04_08,45.0,72.0,45.0,-42.0,93.0,192.0,-65.0,25.0,45.0,-24.0,486.0,3.96,143.0,564.0,45.0,74.0,110.0,45.0,-55.0,14.0,45.0,-14.0,62.0,45.0,29.0,77.0,199.0,-46.0,2024-06-01 04:00:00.000,fcr_results
2024-06-01,2024-06-01,FCR,1.0,NEGPOS_04_08,45.0,72.0,45.0,-42.0,93.0,192.0,-65.0,25.0,45.0,-24.0,486.0,3.96,143.0,564.0,45.0,74.0,110.0,45.0,-55.0,14.0,45.0,-14.0,62.0,45.0,29.0,77.0,199.0,-46.0,2024-06-01 05:00:00.000,fcr_results
2024-06-01,2024-06-01,FCR,1.0,NEGPOS_04_08,45.0,72.0,45.0,-42.0,93.0,192.0,-65.0,25.0,45.0,-24.0,486.0,3.96,143.0,564.0,45.0,74.0,110.0,45.0,-55.0,14.0,45.0,-14.0,62.0,45.0,29.0,77.0,199.0,-46.0,2024-06-01 06:00:00.000,fcr_results
2024-06-01,2024-06-01,FCR,1.0,NEGPOS_04_08,45.0,72.0,45.0,-42.0,93.0,192.0,-65.0,25.0,45.0,-24.0,486.0,3.96,143.0,564.0,45.0,74.0,110.0,45.0,-55.0,14.0,45.0,-14.0,62.0,45.0,29.0,77.0,199.0,-46.0,2024-06-01 07:00:00.000,fcr_results
2024-06-01,2024-06-01,FCR,1.0,NEGPOS_08_12,84.4,72.0,84.4,-42.0,93.0,192.0,-65.0,25.0,84.4,-23.0,486.0,3.88,145.0,564.0,84.4,71.0,110.0,84.4,-58.0,14.0,84.4,-14.0,62.0,84.4,34.0,77.0,234.52,-48.0,2024-06-01 08:00:00.000,fcr_results
2024-06-01,2024-06-01,FCR,1.0,NEGPOS_08_12,84.4,72.0,84.4,-42.0,93.0,192.0,-65.0,25.0,84.4,-23.0,486.0,3.88,145.0,564.0,84.4,71.0,110.0,84.4,-58.0,14.0,84.4,-14.0,62.0,84.4,34.0,77.0,234.52,-48.0,2024-06-01 09:00:00.000,fcr_results
