DATE_FROM,DATE_TO,TYPE_OF_RESERVES,PRODUCT,OFFERED_CAPACITY_PRICE_[EUR/MW],OFFERED_CAPACITY_[MW],ALLOCATED_CAPACITY_[MW],COUNTRY,SETTLEMENTCAPACITY_PRICE_[EUR/MW],NOTE
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,1,1,DE,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,9,9,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,1,1,DE,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,1,1,DE,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,1,1,DE,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,1,1,BE,297.88,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,2,2,DE,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,12,12,DE,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,7,7,DE,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,10,10,DE,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,1,1,NL,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,1,1,NL,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,1,1,NL,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,1,1,NL,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,1,1,NL,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,1,1,BE,297.88,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,1,1,BE,297.88,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,1,1,NL,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,10,10,DE,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,3,3,DE,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,2,2,DE,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,16,16,DE,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,1,1,DE,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,5,5,DE,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,9,9,DE,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,1,1,DE,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,30,30,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,2,2,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,1,1,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,2,2,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.0,1,1,DE,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.08,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.16,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.24,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.25,1,1,DE,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.32,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.4,4,4,CZ,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.44,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.5,38,38,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.52,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.6,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.68,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.76,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.8,5,5,CZ,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.8,11,11,CZ,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.84,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,0.92,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,1.0,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,1.0,14,14,DE,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,1.0,1,1,DE,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,1.0,2,2,DE,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,1.0,3,3,DE,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,1.0,9,9,DE,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,1.0,1,1,AT,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,1.0,2,2,DE,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,1.12,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,1.2,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,1.28,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,1.36,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,1.44,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,1.5,7,7,DE,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,1.52,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,1.6,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,1.68,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,1.8,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,1.88,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,1.96,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,2.0,1,1,DE,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,2.0,14,14,DE,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,2.04,39,39,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,2.04,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,2.12,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,2.2,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,2.28,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,2.36,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,2.4,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,2.42,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,2.44,3,3,CZ,64.5,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,2.44,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,2.46,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,2.48,7,7,FR,3.24,
2024-02-04,2024-02-04,FCR,NEGPOS_00_04,2.48,7,7,FR,3.24,
