DELIVERY_DATE,GATE_OPEN_TIME,GATE_CLOSURE_TIME,ALLOCATION_DEADLINE,TYPE_OF_RESERVES,PRODUCT,TOTAL_DEMAND_[MW],measurement_name
2024-02-05,2024-02-04 09:18:40.904,2024-02-04 23:35:00,2024-02-04 23:50:00,aFRR,NEG_001,1821,energy_afrr_demand
2024-02-05,2024-02-04 09:18:41.963,2024-02-04 23:50:00,2024-02-05 00:05:00,aFRR,NEG_002,1821,energy_afrr_demand
2024-02-05,2024-02-04 09:19:09.653,2024-02-05 00:05:00,2024-02-05 00:20:00,aFRR,NEG_003,1821,energy_afrr_demand
2024-02-05,2024-02-04 09:18:54.166,2024-02-05 00:20:00,2024-02-05 00:35:00,aFRR,NEG_004,1821,energy_afrr_demand
2024-02-05,2024-02-04 09:19:04.619,2024-02-05 00:35:00,2024-02-05 00:50:00,aFRR,NEG_005,1821,energy_afrr_demand
2024-02-05,2024-02-04 09:19:05.263,2024-02-05 00:50:00,2024-02-05 01:05:00,aFRR,NEG_006,1821,energy_afrr_demand
2024-02-05,2024-02-04 09:18:42.369,2024-02-05 01:05:00,2024-02-05 01:20:00,aFRR,NEG_007,1821,energy_afrr_demand
2024-02-05,2024-02-04 09:18:52.892,2024-02-05 01:20:00,2024-02-05 01:35:00,aFRR,NEG_008,1821,energy_afrr_demand
2024-02-05,2024-02-04 09:19:03.919,2024-02-05 01:35:00,2024-02-05 01:50:00,aFRR,NEG_009,1821,energy_afrr_demand
2024-02-05,2024-02-04 09:19:04.275,2024-02-05 01:50:00,2024-02-05 02:05:00,aFRR,NEG_010,1821,energy_afrr_demand
2024-02-05,2024-02-04 09:19:04.060,2024-02-05 02:05:00,2024-02-05 02:20:00,aFRR,NEG_011,1821,energy_afrr_demand
2024-02-05,2024-02-04 09:18:52.497,2024-02-05 02:20:00,2024-02-05 02:35:00,aFRR,NEG_012,1821,energy_afrr_demand
2024-02-05,2024-02-04 09:18:45.603,2024-02-05 02:35:00,2024-02-05 02:50:00,aFRR,NEG_013,1821,energy_afrr_demand
2024-02-05,2024-02-04 09:18:55.462,2024-02-05 02:50:00,2024-02-05 03:05:00,aFRR,NEG_014,1821,energy_afrr_demand
2024-02-05,2024-02-04 09:19:05.310,2024-02-05 03:05:00,2024-02-05 03:20:00,aFRR,NEG_015,1821,energy_afrr_demand
2024-02-05,2024-02-04 09:18:40.795,2024-02-05 03:20:00,2024-02-05 03:35:00,aFRR,NEG_016,1821,energy_afrr_demand
2024-02-05,2024-02-04 09:18:50.466,2024-02-05 03:35:00,2024-02-05 03:50:00,aFRR,NEG_017,1775,energy_afrr_demand
